id,symbol,ask,bid,flags,last,time,time_msc,volume,volume_real,timestamp
192,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:33:00
193,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:34:00
194,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:35:00
195,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:36:00
196,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:37:00
197,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:38:00
198,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:39:00
199,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:40:00
200,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:41:00
201,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:42:00
202,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:43:00
203,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:44:00
204,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:45:00
205,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:46:00
206,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:47:00
207,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:48:00
208,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:49:00
209,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:50:00
210,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:51:02
211,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:52:00
212,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:53:01
213,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:54:00
214,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:55:00
215,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:56:00
216,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:57:00
217,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:58:00
218,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 18:59:00
219,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:00:00
220,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:01:00
221,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:02:00
222,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:03:00
223,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:04:00
224,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:05:00
225,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:06:00
226,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:07:00
227,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:08:00
228,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:09:00
229,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:10:00
230,WINV20,101060,101050,30,101060,2020-09-03T18:01:21Z,1599156081146,114,114,2020-9-3 19:11:00
